ts,id,color,x,y,orientation
748,0,yellow,0.70208154296875,-2.248102294921875,1.8744118213653564
748,1,yellow,0.7015714721679688,2.24776416015625,-1.8741039037704468
748,2,yellow,0.7027744750976562,0.0004606983959674,-3.1401045322418213
748,3,yellow,3.397257568359375,0.1996358489990234,-3.0837717056274414
748,4,yellow,3.397579345703125,-0.1986824645996093,3.0840649604797363
748,5,yellow,4.19748291015625,-0.0012099670171737,3.140421867370605
749,0,yellow,0.70208154296875,-2.248102294921875,1.8744118213653564
749,1,yellow,0.7015714721679688,2.24776416015625,-1.8741039037704468
749,2,yellow,0.7027744750976562,0.0004606983959674,-3.1401045322418213
749,3,yellow,3.397257568359375,0.1996358489990234,-3.0837717056274414
749,4,yellow,3.397579345703125,-0.1986824645996093,3.0840649604797363
749,5,yellow,4.19748291015625,-0.0012099670171737,3.140421867370605
750,0,yellow,0.70208154296875,-2.248102294921875,1.8744118213653564
750,1,yellow,0.7015714721679688,2.24776416015625,-1.8741039037704468
750,2,yellow,0.7027744750976562,0.0004606983959674,-3.1401045322418213
750,3,yellow,3.397257568359375,0.1996358489990234,-3.0837717056274414
750,4,yellow,3.397579345703125,-0.1986824645996093,3.0840649604797363
750,5,yellow,4.19748291015625,-0.0012099670171737,3.140421867370605
751,0,yellow,0.70208154296875,-2.248102294921875,1.8744118213653564
751,1,yellow,0.7015714721679688,2.24776416015625,-1.8741039037704468
751,2,yellow,0.7027744750976562,0.0004606983959674,-3.1401045322418213
751,3,yellow,3.397257568359375,0.1996358489990234,-3.0837717056274414
751,4,yellow,3.397579345703125,-0.1986824645996093,3.0840649604797363
751,5,yellow,4.19748291015625,-0.0012099670171737,3.140421867370605
752,0,yellow,0.70208154296875,-2.248102294921875,1.8744118213653564
752,1,yellow,0.7015714721679688,2.24776416015625,-1.8741039037704468
752,2,yellow,0.7027744750976562,0.0004606983959674,-3.1401045322418213
752,3,yellow,3.397257568359375,0.1996358489990234,-3.0837717056274414
752,4,yellow,3.397579345703125,-0.1986824645996093,3.0840649604797363
752,5,yellow,4.19748291015625,-0.0012099670171737,3.140421867370605
753,0,yellow,0.70208154296875,-2.248102294921875,1.8744118213653564
753,1,yellow,0.7015714721679688,2.24776416015625,-1.8741039037704468
753,2,yellow,0.7027744750976562,0.0004606983959674,-3.1401045322418213
753,3,yellow,3.397257568359375,0.1996358489990234,-3.0837717056274414
753,4,yellow,3.397579345703125,-0.1986824645996093,3.0840649604797363
753,5,yellow,4.19748291015625,-0.0012099670171737,3.140421867370605
754,0,yellow,0.70208154296875,-2.248102294921875,1.8744118213653564
754,1,yellow,0.7015714721679688,2.24776416015625,-1.8741039037704468
754,2,yellow,0.7027744750976562,0.0004606983959674,-3.1401045322418213
754,3,yellow,3.397257568359375,0.1996358489990234,-3.0837717056274414
754,4,yellow,3.397579345703125,-0.1986824645996093,3.0840649604797363
754,5,yellow,4.19748291015625,-0.0012099670171737,3.140421867370605
755,0,yellow,0.70208154296875,-2.248102294921875,1.8744118213653564
755,1,yellow,0.7015714721679688,2.24776416015625,-1.8741039037704468
755,2,yellow,0.7027744750976562,0.0004606983959674,-3.1401045322418213
755,3,yellow,3.397257568359375,0.1996358489990234,-3.0837717056274414
755,4,yellow,3.397579345703125,-0.1986824645996093,3.0840649604797363
755,5,yellow,4.19748291015625,-0.0012099670171737,3.140421867370605
756,0,yellow,0.70208154296875,-2.248102294921875,1.8744118213653564
756,1,yellow,0.7015714721679688,2.24776416015625,-1.8741039037704468
756,2,yellow,0.7027744750976562,0.0004606983959674,-3.1401045322418213
